year,education,count,area_type,statefip,countyfip
2015,College Degree or Higher,69599821,United States,,
2015,HS or Equivalent,14252270,United States,,
2015,Less than HS,100493776,United States,,
2015,Some College,77242223,United States,,
2016,College Degree or Higher,71823157,United States,,
2016,HS or Equivalent,14313563,United States,,
2016,Less than HS,99922254,United States,,
2016,Some College,77349618,United States,,
2017,College Degree or Higher,74271608,United States,,
2017,HS or Equivalent,14269838,United States,,
2017,Less than HS,98729876,United States,,
2017,Some College,77863129,United States,,
2018,College Degree or Higher,76402617,United States,,
2018,HS or Equivalent,14406029,United States,,
2018,Less than HS,97758814,United States,,
2018,Some College,77864453,United States,,
2019,College Degree or Higher,78234691,United States,,
2019,HS or Equivalent,14608964,United States,,
2019,Less than HS,96729845,United States,,
2019,Some College,77606188,United States,,
2020,College Degree or Higher,83631817,United States,,
2020,HS or Equivalent,14957182,United States,,
2020,Less than HS,94284449,United States,,
2020,Some College,77212624,United States,,
2021,College Degree or Higher,83901822,United States,,
2021,HS or Equivalent,15135396,United States,,
2021,Less than HS,95263446,United States,,
2021,Some College,76477162,United States,,
2022,College Degree or Higher,86232183,United States,,
2022,HS or Equivalent,15355735,United States,,
2022,Less than HS,93624612,United States,,
2022,Some College,76577622,United States,,
2015,College Degree or Higher,821634,state,alabama,
2015,College Degree or Higher,137648,state,alaska,
2015,College Degree or Higher,1316020,state,arizona,
2015,College Degree or Higher,447082,state,arkansas,
2015,College Degree or Higher,8798338,state,california,
2015,College Degree or Higher,1507857,state,colorado,
2015,College Degree or Higher,998732,state,connecticut,
2015,College Degree or Higher,213650,state,delaware,
2015,College Degree or Higher,289751,state,district of columbia,
2015,College Degree or Higher,4265465,state,florida,
2015,College Degree or Higher,2072661,state,georgia,
2015,College Degree or Higher,322113,state,hawaii,
2015,College Degree or Higher,280015,state,idaho,
2015,College Degree or Higher,3018267,state,illinois,
2015,College Degree or Higher,1157602,state,indiana,
2015,College Degree or Higher,595910,state,iowa,
2015,College Degree or Higher,629222,state,kansas,
2015,College Degree or Higher,718778,state,kentucky,
2015,College Degree or Higher,754702,state,louisiana,
2015,College Degree or Higher,304391,state,maine,
2015,College Degree or Higher,1679186,state,maryland,
2015,College Degree or Higher,2084723,state,massachusetts,
2015,College Degree or Higher,1982722,state,michigan,
2015,College Degree or Higher,1361934,state,minnesota,
2015,College Degree or Higher,427167,state,mississippi,
2015,College Degree or Higher,1197983,state,missouri,
2015,College Degree or Higher,213336,state,montana,
2015,College Degree or Higher,394882,state,nebraska,
2015,College Degree or Higher,483819,state,nevada,
2015,College Degree or Higher,350152,state,new hampshire,
2015,College Degree or Higher,2450394,state,new jersey,
2015,College Degree or Higher,374835,state,new mexico,
2015,College Degree or Higher,5107152,state,new york,
2015,College Degree or Higher,2091848,state,north carolina,
2015,College Degree or Higher,158422,state,north dakota,
2015,College Degree or Higher,2218000,state,ohio,
2015,College Degree or Higher,674712,state,oklahoma,
2015,College Degree or Higher,937141,state,oregon,
2015,College Degree or Higher,2776383,state,pennsylvania,
2015,College Degree or Higher,254826,state,rhode island,
2015,College Degree or Higher,927279,state,south carolina,
2015,College Degree or Higher,165469,state,south dakota,
2015,College Degree or Higher,1218821,state,tennessee,
2015,College Degree or Higher,5158942,state,texas,
2015,College Degree or Higher,574500,state,utah,
2015,College Degree or Higher,173829,state,vermont,
2015,College Degree or Higher,2202471,state,virginia,
2015,College Degree or Higher,1738781,state,washington,
2015,College Degree or Higher,269990,state,west virginia,
2015,College Degree or Higher,1192995,state,wisconsin,
2015,College Degree or Higher,107289,state,wyoming,
2015,HS or Equivalent,283419,state,alabama,
2015,HS or Equivalent,36957,state,alaska,
2015,HS or Equivalent,323059,state,arizona,
2015,HS or Equivalent,181885,state,arkansas,
2015,HS or Equivalent,1486986,state,california,
2015,HS or Equivalent,212969,state,colorado,
2015,HS or Equivalent,130774,state,connecticut,
2015,HS or Equivalent,39976,state,delaware,
2015,HS or Equivalent,18246,state,district of columbia,
2015,HS or Equivalent,1005067,state,florida,
2015,HS or Equivalent,500788,state,georgia,
2015,HS or Equivalent,38911,state,hawaii,
2015,HS or Equivalent,89309,state,idaho,
2015,HS or Equivalent,516391,state,illinois,
2015,HS or Equivalent,337888,state,indiana,
2015,HS or Equivalent,127831,state,iowa,
2015,HS or Equivalent,117046,state,kansas,
2015,HS or Equivalent,266042,state,kentucky,
2015,HS or Equivalent,257411,state,louisiana,
2015,HS or Equivalent,64587,state,maine,
2015,HS or Equivalent,214343,state,maryland,
2015,HS or Equivalent,233951,state,massachusetts,
2015,HS or Equivalent,425067,state,michigan,
2015,HS or Equivalent,202071,state,minnesota,
2015,HS or Equivalent,189906,state,mississippi,
2015,HS or Equivalent,292149,state,missouri,
2015,HS or Equivalent,47391,state,montana,
2015,HS or Equivalent,65049,state,nebraska,
2015,HS or Equivalent,149856,state,nevada,
2015,HS or Equivalent,53882,state,new hampshire,
2015,HS or Equivalent,289912,state,new jersey,
2015,HS or Equivalent,110715,state,new mexico,
2015,HS or Equivalent,935865,state,new york,
2015,HS or Equivalent,429820,state,north carolina,
2015,HS or Equivalent,28672,state,north dakota,
2015,HS or Equivalent,484486,state,ohio,
2015,HS or Equivalent,182327,state,oklahoma,
2015,HS or Equivalent,214507,state,oregon,
2015,HS or Equivalent,527181,state,pennsylvania,
2015,HS or Equivalent,48150,state,rhode island,
2015,HS or Equivalent,231797,state,south carolina,
2015,HS or Equivalent,44091,state,south dakota,
2015,HS or Equivalent,391521,state,tennessee,
2015,HS or Equivalent,1236105,state,texas,
2015,HS or Equivalent,107547,state,utah,
2015,HS or Equivalent,23788,state,vermont,
2015,HS or Equivalent,364455,state,virginia,
2015,HS or Equivalent,325332,state,washington,
2015,HS or Equivalent,114252,state,west virginia,
2015,HS or Equivalent,227128,state,wisconsin,
2015,HS or Equivalent,25412,state,wyoming,
2015,Less than HS,1595907,state,alabama,
2015,Less than HS,228931,state,alaska,
2015,Less than HS,2249941,state,arizona,
2015,Less than HS,986651,state,arkansas,
2015,Less than HS,13353518,state,california,
2015,Less than HS,1578753,state,colorado,
2015,Less than HS,994768,state,connecticut,
2015,Less than HS,273005,state,delaware,
2015,Less than HS,162448,state,district of columbia,
2015,Less than HS,5817922,state,florida,
2015,Less than HS,3450158,state,georgia,
2015,Less than HS,392866,state,hawaii,
2015,Less than HS,541823,state,idaho,
2015,Less than HS,3912411,state,illinois,
2015,Less than HS,2101464,state,indiana,
2015,Less than HS,892553,state,iowa,
2015,Less than HS,909552,state,kansas,
2015,Less than HS,1461353,state,kentucky,
2015,Less than HS,1604183,state,louisiana,
2015,Less than HS,330649,state,maine,
2015,Less than HS,1735229,state,maryland,
2015,Less than HS,1819852,state,massachusetts,
2015,Less than HS,2842188,state,michigan,
2015,Less than HS,1541949,state,minnesota,
2015,Less than HS,1046567,state,mississippi,
2015,Less than HS,1845758,state,missouri,
2015,Less than HS,276037,state,montana,
2015,Less than HS,580109,state,nebraska,
2015,Less than HS,926492,state,nevada,
2015,Less than HS,327213,state,new hampshire,
2015,Less than HS,2622513,state,new jersey,
2015,Less than HS,721136,state,new mexico,
2015,Less than HS,5966448,state,new york,
2015,Less than HS,3213466,state,north carolina,
2015,Less than HS,209160,state,north dakota,
2015,Less than HS,3417727,state,ohio,
2015,Less than HS,1305773,state,oklahoma,
2015,Less than HS,1125674,state,oregon,
2015,Less than HS,3602777,state,pennsylvania,
2015,Less than HS,295046,state,rhode island,
2015,Less than HS,1529624,state,south carolina,
2015,Less than HS,261024,state,south dakota,
2015,Less than HS,2087643,state,tennessee,
2015,Less than HS,10313635,state,texas,
2015,Less than HS,1053903,state,utah,
2015,Less than HS,152451,state,vermont,
2015,Less than HS,2469502,state,virginia,
2015,Less than HS,2035319,state,washington,
2015,Less than HS,556316,state,west virginia,
2015,Less than HS,1606785,state,wisconsin,
2015,Less than HS,167604,state,wyoming,
2015,Some College,1201062,state,alabama,
2015,Some College,200208,state,alaska,
2015,Some College,1831450,state,arizona,
2015,Some College,729635,state,arkansas,
2015,Some College,9530028,state,california,
2015,Some College,1349364,state,colorado,
2015,Some College,773453,state,connecticut,
2015,Some College,225929,state,delaware,
2015,Some College,111849,state,district of columbia,
2015,Some College,5141659,state,florida,
2015,Some College,2324406,state,georgia,
2015,Some College,382054,state,hawaii,
2015,Some College,468889,state,idaho,
2015,Some College,3070184,state,illinois,
2015,Some College,1567403,state,indiana,
2015,Some College,856421,state,iowa,
2015,Some College,761808,state,kansas,
2015,Some College,1031607,state,kentucky,
2015,Some College,1053537,state,louisiana,
2015,Some College,331057,state,maine,
2015,Some College,1316059,state,maryland,
2015,Some College,1420750,state,massachusetts,
2015,Some College,2692017,state,michigan,
2015,Some College,1413878,state,minnesota,
2015,Some College,774029,state,mississippi,
2015,Some College,1511722,state,missouri,
2015,Some College,272084,state,montana,
2015,Some College,522945,state,nebraska,
