year,count,area_type,statefip,countyfip
2015,302588117,United States,,
2016,303894541,United States,,
2017,306718892,United States,,
2018,309439681,United States,,
2019,311620262,United States,,
2020,315492697,United States,,
2021,323519336,United States,,
2022,327752890,United States,,
2015,4465809,state,alabama,
2015,676424,state,alaska,
2015,6350207,state,arizona,
2015,2849122,state,arkansas,
2015,36507380,state,california,
2015,5246923,state,colorado,
2015,3362385,state,connecticut,
2015,906146,state,delaware,
2015,631366,state,district of columbia,
2015,18098104,state,florida,
2015,9515297,state,georgia,
2015,1294393,state,hawaii,
2015,1527755,state,idaho,
2015,12195615,state,illinois,
2015,6286589,state,indiana,
2015,3068871,state,iowa,
2015,2779299,state,kansas,
2015,4247032,state,kentucky,
2015,4255730,state,louisiana,
2015,1266714,state,maine,
2015,5708514,state,maryland,
2015,6452717,state,massachusetts,
2015,9489411,state,michigan,
2015,5360196,state,minnesota,
2015,2825497,state,mississippi,
2015,5832570,state,missouri,
2015,963576,state,montana,
2015,1878244,state,nebraska,
2015,2618342,state,nevada,
2015,1272991,state,new hampshire,
2015,8467585,state,new jersey,
2015,1862088,state,new mexico,
2015,18585179,state,new york,
2015,9448088,state,north carolina,
2015,768574,state,north dakota,
2015,11268201,state,ohio,
2015,3710718,state,oklahoma,
2015,3809959,state,oregon,
2015,12288609,state,pennsylvania,
2015,994642,state,rhode island,
2015,4512554,state,south carolina,
2015,839200,state,south dakota,
2015,6238501,state,tennessee,
2015,25658335,state,texas,
2015,2827785,state,utah,
2015,590801,state,vermont,
2015,7933751,state,virginia,
2015,6920115,state,washington,
2015,1731272,state,west virginia,
2015,5639795,state,wisconsin,
2015,559146,state,wyoming,
2016,4436387,state,alabama,
2016,688894,state,alaska,
2016,6538790,state,arizona,
2016,2827491,state,arkansas,
2016,36600000,state,california,
2016,5311632,state,colorado,
2016,3373564,state,connecticut,
2016,863406,state,delaware,
2016,612903,state,district of columbia,
2016,18330218,state,florida,
2016,9525264,state,georgia,
2016,1311686,state,hawaii,
2016,1578834,state,idaho,
2016,12195711,state,illinois,
2016,6361114,state,indiana,
2016,3092989,state,iowa,
2016,2755610,state,kansas,
2016,4257660,state,kentucky,
2016,4237083,state,louisiana,
2016,1222360,state,maine,
2016,5650959,state,maryland,
2016,6506353,state,massachusetts,
2016,9543735,state,michigan,
2016,5332960,state,minnesota,
2016,2744554,state,mississippi,
2016,5877940,state,missouri,
2016,993019,state,montana,
2016,1886291,state,nebraska,
2016,2667066,state,nevada,
2016,1288947,state,new hampshire,
2016,8451225,state,new jersey,
2016,1887769,state,new mexico,
2016,18596820,state,new york,
2016,9561518,state,north carolina,
2016,750295,state,north dakota,
2016,11238923,state,ohio,
2016,3708246,state,oklahoma,
2016,3877008,state,oregon,
2016,12214514,state,pennsylvania,
2016,978509,state,rhode island,
2016,4548699,state,south carolina,
2016,834040,state,south dakota,
2016,6273234,state,tennessee,
2016,25990416,state,texas,
2016,2906437,state,utah,
2016,607144,state,vermont,
2016,7951281,state,virginia,
2016,7011252,state,washington,
2016,1708147,state,west virginia,
2016,5636758,state,wisconsin,
2016,548886,state,wyoming,
2017,4429306,state,alabama,
2017,699704,state,alaska,
2017,6551310,state,arizona,
2017,2859784,state,arkansas,
2017,36726301,state,california,
2017,5368560,state,colorado,
2017,3386687,state,connecticut,
2017,871980,state,delaware,
2017,602892,state,district of columbia,
2017,18637407,state,florida,
2017,9683032,state,georgia,
2017,1312453,state,hawaii,
2017,1615710,state,idaho,
2017,12180108,state,illinois,
2017,6359537,state,indiana,
2017,3087998,state,iowa,
2017,2844596,state,kansas,
2017,4316780,state,kentucky,
2017,4259295,state,louisiana,
2017,1243921,state,maine,
2017,5737331,state,maryland,
2017,6570749,state,massachusetts,
2017,9698122,state,michigan,
2017,5394132,state,minnesota,
2017,2730233,state,mississippi,
2017,5872181,state,missouri,
2017,997835,state,montana,
2017,1912452,state,nebraska,
2017,2786467,state,nevada,
2017,1309215,state,new hampshire,
2017,8567962,state,new jersey,
2017,1840159,state,new mexico,
2017,18739162,state,new york,
2017,9736098,state,north carolina,
2017,763159,state,north dakota,
2017,11324170,state,ohio,
2017,3702881,state,oklahoma,
2017,3968289,state,oregon,
2017,12262761,state,pennsylvania,
2017,998092,state,rhode island,
2017,4634724,state,south carolina,
2017,859465,state,south dakota,
2017,6358166,state,tennessee,
2017,26195010,state,texas,
2017,2963303,state,utah,
2017,595213,state,vermont,
2017,8020152,state,virginia,
2017,7234086,state,washington,
2017,1676712,state,west virginia,
2017,5677060,state,wisconsin,
2017,556190,state,wyoming,
2018,4485504,state,alabama,
2018,688342,state,alaska,
2018,6783811,state,arizona,
2018,2893564,state,arkansas,
2018,36655511,state,california,
2018,5454924,state,colorado,
2018,3447485,state,connecticut,
2018,905175,state,delaware,
2018,615154,state,district of columbia,
2018,18852495,state,florida,
2018,9783417,state,georgia,
2018,1309821,state,hawaii,
2018,1669700,state,idaho,
2018,12235216,state,illinois,
2018,6520440,state,indiana,
2018,3091192,state,iowa,
2018,2857476,state,kansas,
2018,4296880,state,kentucky,
2018,4254529,state,louisiana,
2018,1312348,state,maine,
2018,5705921,state,maryland,
2018,6608611,state,massachusetts,
2018,9684436,state,michigan,
2018,5454499,state,minnesota,
2018,2762146,state,mississippi,
2018,5950413,state,missouri,
2018,1019384,state,montana,
2018,1928865,state,nebraska,
2018,2834773,state,nevada,
2018,1304376,state,new hampshire,
2018,8546547,state,new jersey,
2018,1901272,state,new mexico,
2018,18858257,state,new york,
2018,9840870,state,north carolina,
2018,756437,state,north dakota,
2018,11343523,state,ohio,
2018,3766938,state,oklahoma,
2018,4088110,state,oregon,
2018,12422538,state,pennsylvania,
2018,992250,state,rhode island,
2018,4684014,state,south carolina,
2018,854885,state,south dakota,
2018,6449951,state,tennessee,
2018,26403758,state,texas,
2018,3048300,state,utah,
2018,608780,state,vermont,
2018,8089145,state,virginia,
2018,7384051,state,washington,
2018,1731215,state,west virginia,
2018,5754100,state,wisconsin,
2018,548332,state,wyoming,
2019,4572761,state,alabama,
2019,675395,state,alaska,
2019,6911304,state,arizona,
2019,2888392,state,arkansas,
2019,36889869,state,california,
2019,5593477,state,colorado,
