year,pov_dist,count,area_type,statefip
2015,101 to 150%,26052920,United States,
2015,151 to 200%,26225664,United States,
2015,50% or Less,13522089,United States,
2015,51 to 100%,21689419,United States,
2015,Over 200%,207027129,United States,
2016,101 to 150%,25498743,United States,
2016,151 to 200%,25395464,United States,
2016,50% or Less,13004192,United States,
2016,51 to 100%,20690003,United States,
2016,Over 200%,211226260,United States,
2017,101 to 150%,24434434,United States,
2017,151 to 200%,25187067,United States,
2017,50% or Less,12571386,United States,
2017,51 to 100%,19873567,United States,
2017,Over 200%,216565201,United States,
2018,101 to 150%,23935465,United States,
2018,151 to 200%,24951557,United States,
2018,50% or Less,12188957,United States,
2018,51 to 100%,19533400,United States,
2018,Over 200%,220738693,United States,
2019,101 to 150%,22749960,United States,
2019,151 to 200%,24456347,United States,
2019,50% or Less,11407589,United States,
2019,51 to 100%,18097187,United States,
2019,Over 200%,226824817,United States,
2020,101 to 150%,21898875,United States,
2020,151 to 200%,24020045,United States,
2020,50% or Less,11050065,United States,
2020,51 to 100%,17234725,United States,
2020,Over 200%,233264754,United States,
2021,101 to 150%,22644803,United States,
2021,151 to 200%,24332117,United States,
2021,50% or Less,13831945,United States,
2021,51 to 100%,17910476,United States,
2021,Over 200%,237039136,United States,
2022,101 to 150%,22266530,United States,
2022,151 to 200%,24038524,United States,
2022,50% or Less,13366223,United States,
2022,51 to 100%,17534281,United States,
2022,Over 200%,242394439,United States,
2015,101 to 150%,448749,state,alabama
2015,101 to 150%,52466,state,alaska
2015,101 to 150%,630862,state,arizona
2015,101 to 150%,328843,state,arkansas
2015,101 to 150%,3271878,state,california
2015,101 to 150%,374804,state,colorado
2015,101 to 150%,188468,state,connecticut
2015,101 to 150%,52771,state,delaware
2015,101 to 150%,37241,state,district of columbia
2015,101 to 150%,1788403,state,florida
2015,101 to 150%,904517,state,georgia
2015,101 to 150%,99712,state,hawaii
2015,101 to 150%,159491,state,idaho
2015,101 to 150%,928320,state,illinois
2015,101 to 150%,558361,state,indiana
2015,101 to 150%,266410,state,iowa
2015,101 to 150%,215127,state,kansas
2015,101 to 150%,423286,state,kentucky
2015,101 to 150%,438676,state,louisiana
2015,101 to 150%,109120,state,maine
2015,101 to 150%,305365,state,maryland
2015,101 to 150%,382772,state,massachusetts
2015,101 to 150%,806768,state,michigan
2015,101 to 150%,373575,state,minnesota
2015,101 to 150%,346643,state,mississippi
2015,101 to 150%,490001,state,missouri
2015,101 to 150%,89239,state,montana
2015,101 to 150%,161092,state,nebraska
2015,101 to 150%,253865,state,nevada
2015,101 to 150%,64815,state,new hampshire
2015,101 to 150%,554410,state,new jersey
2015,101 to 150%,201449,state,new mexico
2015,101 to 150%,1489764,state,new york
2015,101 to 150%,947126,state,north carolina
2015,101 to 150%,47141,state,north dakota
2015,101 to 150%,937215,state,ohio
2015,101 to 150%,369588,state,oklahoma
2015,101 to 150%,307801,state,oregon
2015,101 to 150%,932501,state,pennsylvania
2015,101 to 150%,68505,state,rhode island
2015,101 to 150%,438947,state,south carolina
2015,101 to 150%,66488,state,south dakota
2015,101 to 150%,611334,state,tennessee
2015,101 to 150%,2560426,state,texas
2015,101 to 150%,218475,state,utah
2015,101 to 150%,37118,state,vermont
2015,101 to 150%,547376,state,virginia
2015,101 to 150%,511104,state,washington
2015,101 to 150%,182474,state,west virginia
2015,101 to 150%,440445,state,wisconsin
2015,101 to 150%,31593,state,wyoming
2015,151 to 200%,432331,state,alabama
2015,151 to 200%,61407,state,alaska
2015,151 to 200%,594025,state,arizona
2015,151 to 200%,295236,state,arkansas
2015,151 to 200%,3167657,state,california
2015,151 to 200%,416268,state,colorado
2015,151 to 200%,196313,state,connecticut
2015,151 to 200%,75001,state,delaware
2015,151 to 200%,39945,state,district of columbia
2015,151 to 200%,1820011,state,florida
2015,151 to 200%,901149,state,georgia
2015,151 to 200%,95100,state,hawaii
2015,151 to 200%,172741,state,idaho
2015,151 to 200%,985282,state,illinois
2015,151 to 200%,597299,state,indiana
2015,151 to 200%,261948,state,iowa
2015,151 to 200%,249121,state,kansas
2015,151 to 200%,402100,state,kentucky
2015,151 to 200%,395470,state,louisiana
2015,151 to 200%,109558,state,maine
2015,151 to 200%,348070,state,maryland
2015,151 to 200%,374361,state,massachusetts
2015,151 to 200%,845338,state,michigan
2015,151 to 200%,368591,state,minnesota
2015,151 to 200%,299713,state,mississippi
2015,151 to 200%,564782,state,missouri
2015,151 to 200%,83341,state,montana
2015,151 to 200%,162049,state,nebraska
2015,151 to 200%,253296,state,nevada
2015,151 to 200%,74418,state,new hampshire
2015,151 to 200%,534745,state,new jersey
2015,151 to 200%,191405,state,new mexico
2015,151 to 200%,1330535,state,new york
2015,151 to 200%,932969,state,north carolina
2015,151 to 200%,55339,state,north dakota
2015,151 to 200%,1022709,state,ohio
2015,151 to 200%,383999,state,oklahoma
2015,151 to 200%,339392,state,oregon
2015,151 to 200%,1004873,state,pennsylvania
2015,151 to 200%,79398,state,rhode island
2015,151 to 200%,452250,state,south carolina
2015,151 to 200%,75626,state,south dakota
2015,151 to 200%,634905,state,tennessee
2015,151 to 200%,2397446,state,texas
2015,151 to 200%,282990,state,utah
2015,151 to 200%,52437,state,vermont
2015,151 to 200%,556461,state,virginia
