year,race_recode,count,area_type,statefip,countyfip
2015,Hispanic AIAN,544173,United States,,
2015,Hispanic Black,1105854,United States,,
2015,Hispanic Chinese,26702,United States,,
2015,Hispanic Japanese,17516,United States,,
2015,Hispanic OAPI,197608,United States,,
2015,Hispanic Other Multiple,2553465,United States,,
2015,Hispanic Other Race,14588850,United States,,
2015,Hispanic White,37442609,United States,,
2015,Non-Hispanic AIAN,2065003,United States,,
2015,Non-Hispanic Black,39650251,United States,,
2015,Non-Hispanic Chinese,4121605,United States,,
2015,Non-Hispanic Japanese,751498,United States,,
2015,Non-Hispanic Multiple,7490181,United States,,
2015,Non-Hispanic OAPI,12627103,United States,,
2015,Non-Hispanic Other Race,682448,United States,,
2015,Non-Hispanic White,197553955,United States,,
2016,Hispanic AIAN,560324,United States,,
2016,Hispanic Black,1145406,United States,,
2016,Hispanic Chinese,29215,United States,,
2016,Hispanic Japanese,23773,United States,,
2016,Hispanic OAPI,215921,United States,,
2016,Hispanic Other Multiple,2652108,United States,,
2016,Hispanic Other Race,15621919,United States,,
2016,Hispanic White,37141085,United States,,
2016,Non-Hispanic AIAN,2116655,United States,,
2016,Non-Hispanic Black,39808784,United States,,
2016,Non-Hispanic Chinese,4216350,United States,,
2016,Non-Hispanic Japanese,765121,United States,,
2016,Non-Hispanic Multiple,7778371,United States,,
2016,Non-Hispanic OAPI,12824609,United States,,
2016,Non-Hispanic Other Race,741179,United States,,
2016,Non-Hispanic White,197486695,United States,,
2017,Hispanic AIAN,577523,United States,,
2017,Hispanic Black,1292828,United States,,
2017,Hispanic Chinese,29867,United States,,
2017,Hispanic Japanese,23862,United States,,
2017,Hispanic OAPI,209060,United States,,
2017,Hispanic Other Multiple,2775154,United States,,
2017,Hispanic Other Race,15678852,United States,,
2017,Hispanic White,38250715,United States,,
2017,Non-Hispanic AIAN,2114608,United States,,
2017,Non-Hispanic Black,40127928,United States,,
2017,Non-Hispanic Chinese,4321193,United States,,
2017,Non-Hispanic Japanese,755497,United States,,
2017,Non-Hispanic Multiple,8108027,United States,,
2017,Non-Hispanic OAPI,13337708,United States,,
2017,Non-Hispanic Other Race,818962,United States,,
2017,Non-Hispanic White,197297394,United States,,
2018,Hispanic AIAN,655850,United States,,
2018,Hispanic Black,1310548,United States,,
2018,Hispanic Chinese,31857,United States,,
2018,Hispanic Japanese,24209,United States,,
2018,Hispanic OAPI,235448,United States,,
2018,Hispanic Other Multiple,2962478,United States,,
2018,Hispanic Other Race,15452042,United States,,
2018,Hispanic White,39067841,United States,,
2018,Non-Hispanic AIAN,2170486,United States,,
2018,Non-Hispanic Black,40373281,United States,,
2018,Non-Hispanic Chinese,4354861,United States,,
2018,Non-Hispanic Japanese,763426,United States,,
2018,Non-Hispanic Multiple,8365289,United States,,
2018,Non-Hispanic OAPI,13544006,United States,,
2018,Non-Hispanic Other Race,820966,United States,,
2018,Non-Hispanic White,197034851,United States,,
2019,Hispanic AIAN,629165,United States,,
2019,Hispanic Black,1392062,United States,,
2019,Hispanic Chinese,27482,United States,,
2019,Hispanic Japanese,20166,United States,,
2019,Hispanic OAPI,225131,United States,,
2019,Hispanic Other Multiple,3021517,United States,,
2019,Hispanic Other Race,15432311,United States,,
2019,Hispanic White,39736943,United States,,
2019,Non-Hispanic AIAN,2212455,United States,,
2019,Non-Hispanic Black,40650969,United States,,
2019,Non-Hispanic Chinese,4409924,United States,,
2019,Non-Hispanic Japanese,723108,United States,,
2019,Non-Hispanic Multiple,8435679,United States,,
2019,Non-Hispanic OAPI,13693525,United States,,
2019,Non-Hispanic Other Race,833835,United States,,
2019,Non-Hispanic White,196795251,United States,,
2020,Hispanic AIAN,1266538,United States,,
2020,Hispanic Black,906735,United States,,
2020,Hispanic Chinese,49540,United States,,
2020,Hispanic Japanese,28005,United States,,
2020,Hispanic OAPI,319267,United States,,
2020,Hispanic Other Multiple,24367898,United States,,
2020,Hispanic Other Race,20862353,United States,,
2020,Hispanic White,13330795,United States,,
2020,Non-Hispanic AIAN,2019407,United States,,
2020,Non-Hispanic Black,38977942,United States,,
2020,Non-Hispanic Chinese,4475741,United States,,
2020,Non-Hispanic Japanese,743290,United States,,
2020,Non-Hispanic Multiple,13675859,United States,,
2020,Non-Hispanic OAPI,13732900,United States,,
2020,Non-Hispanic Other Race,1424832,United States,,
2020,Non-Hispanic White,193323713,United States,,
2021,Hispanic AIAN,1405905,United States,,
2021,Hispanic Black,931982,United States,,
2021,Hispanic Chinese,40266,United States,,
2021,Hispanic Japanese,28899,United States,,
2021,Hispanic OAPI,251264,United States,,
2021,Hispanic Other Multiple,27597285,United States,,
2021,Hispanic Other Race,22050540,United States,,
2021,Hispanic White,10224392,United States,,
2021,Non-Hispanic AIAN,1755908,United States,,
2021,Non-Hispanic Black,39285530,United States,,
2021,Non-Hispanic Chinese,4316831,United States,,
2021,Non-Hispanic Japanese,723317,United States,,
2021,Non-Hispanic Multiple,14399164,United States,,
2021,Non-Hispanic OAPI,14303515,United States,,
2021,Non-Hispanic Other Race,1848950,United States,,
2021,Non-Hispanic White,192729997,United States,,
2022,Hispanic AIAN,1477015,United States,,
2022,Hispanic Black,1030894,United States,,
2022,Hispanic Chinese,46017,United States,,
2022,Hispanic Japanese,34386,United States,,
2022,Hispanic OAPI,269127,United States,,
2022,Hispanic Other Multiple,27478895,United States,,
2022,Hispanic Other Race,22486211,United States,,
2022,Hispanic White,10726673,United States,,
2022,Non-Hispanic AIAN,1744795,United States,,
2022,Non-Hispanic Black,39588212,United States,,
2022,Non-Hispanic Chinese,4460986,United States,,
2022,Non-Hispanic Japanese,693921,United States,,
2022,Non-Hispanic Multiple,14513303,United States,,
2022,Non-Hispanic OAPI,14676038,United States,,
2022,Non-Hispanic Other Race,1901986,United States,,
2022,Non-Hispanic White,192159103,United States,,
2015,Hispanic AIAN,2221,state,alabama,
2015,Hispanic AIAN,1966,state,alaska,
2015,Hispanic AIAN,30320,state,arizona,
2015,Hispanic AIAN,2664,state,arkansas,
2015,Hispanic AIAN,152742,state,california,
2015,Hispanic AIAN,19799,state,colorado,
2015,Hispanic AIAN,4065,state,connecticut,
2015,Hispanic AIAN,861,state,delaware,
2015,Hispanic AIAN,51,state,district of columbia,
2015,Hispanic AIAN,13361,state,florida,
2015,Hispanic AIAN,12815,state,georgia,
2015,Hispanic AIAN,2179,state,hawaii,
2015,Hispanic AIAN,5767,state,idaho,
2015,Hispanic AIAN,15929,state,illinois,
2015,Hispanic AIAN,1482,state,indiana,
2015,Hispanic AIAN,3211,state,iowa,
2015,Hispanic AIAN,4957,state,kansas,
2015,Hispanic AIAN,1778,state,kentucky,
2015,Hispanic AIAN,2122,state,louisiana,
2015,Hispanic AIAN,491,state,maine,
2015,Hispanic AIAN,6464,state,maryland,
2015,Hispanic AIAN,3165,state,massachusetts,
2015,Hispanic AIAN,7808,state,michigan,
2015,Hispanic AIAN,2981,state,minnesota,
2015,Hispanic AIAN,419,state,mississippi,
2015,Hispanic AIAN,2709,state,missouri,
2015,Hispanic AIAN,2159,state,montana,
2015,Hispanic AIAN,2223,state,nebraska,
2015,Hispanic AIAN,8035,state,nevada,
2015,Hispanic AIAN,90,state,new hampshire,
2015,Hispanic AIAN,8654,state,new jersey,
2015,Hispanic AIAN,17210,state,new mexico,
2015,Hispanic AIAN,30732,state,new york,
2015,Hispanic AIAN,14665,state,north carolina,
2015,Hispanic AIAN,1899,state,north dakota,
2015,Hispanic AIAN,6335,state,ohio,
2015,Hispanic AIAN,13276,state,oklahoma,
2015,Hispanic AIAN,13583,state,oregon,
2015,Hispanic AIAN,14140,state,pennsylvania,
2015,Hispanic AIAN,1208,state,rhode island,
2015,Hispanic AIAN,1538,state,south carolina,
2015,Hispanic AIAN,3361,state,south dakota,
2015,Hispanic AIAN,1275,state,tennessee,
2015,Hispanic AIAN,74317,state,texas,
2015,Hispanic AIAN,5767,state,utah,
2015,Hispanic AIAN,443,state,vermont,
2015,Hispanic AIAN,7293,state,virginia,
2015,Hispanic AIAN,9171,state,washington,
2015,Hispanic AIAN,3366,state,wisconsin,
2015,Hispanic AIAN,1106,state,wyoming,
2015,Hispanic Black,5667,state,alabama,
2015,Hispanic Black,1898,state,alaska,
2015,Hispanic Black,16492,state,arizona,
2015,Hispanic Black,2137,state,arkansas,
2015,Hispanic Black,92004,state,california,
2015,Hispanic Black,12600,state,colorado,
2015,Hispanic Black,21208,state,connecticut,
2015,Hispanic Black,3141,state,delaware,
2015,Hispanic Black,5148,state,district of columbia,
2015,Hispanic Black,129928,state,florida,
2015,Hispanic Black,36701,state,georgia,
2015,Hispanic Black,2063,state,hawaii,
2015,Hispanic Black,30504,state,illinois,
2015,Hispanic Black,9400,state,indiana,
2015,Hispanic Black,2751,state,iowa,
2015,Hispanic Black,3130,state,kansas,
2015,Hispanic Black,4758,state,kentucky,
2015,Hispanic Black,9476,state,louisiana,
2015,Hispanic Black,764,state,maine,
2015,Hispanic Black,24191,state,maryland,
2015,Hispanic Black,40505,state,massachusetts,
2015,Hispanic Black,15754,state,michigan,
2015,Hispanic Black,6418,state,minnesota,
2015,Hispanic Black,2667,state,mississippi,
2015,Hispanic Black,6269,state,missouri,
2015,Hispanic Black,213,state,montana,
2015,Hispanic Black,2587,state,nebraska,
2015,Hispanic Black,11154,state,nevada,
2015,Hispanic Black,1436,state,new hampshire,
2015,Hispanic Black,68040,state,new jersey,
2015,Hispanic Black,6437,state,new mexico,
2015,Hispanic Black,237505,state,new york,
2015,Hispanic Black,29455,state,north carolina,
2015,Hispanic Black,549,state,north dakota,
2015,Hispanic Black,16030,state,ohio,
2015,Hispanic Black,5532,state,oklahoma,
2015,Hispanic Black,4312,state,oregon,
2015,Hispanic Black,67169,state,pennsylvania,
2015,Hispanic Black,7416,state,rhode island,
2015,Hispanic Black,12514,state,south carolina,
2015,Hispanic Black,232,state,south dakota,
2015,Hispanic Black,9026,state,tennessee,
2015,Hispanic Black,91429,state,texas,
2015,Hispanic Black,2122,state,utah,
2015,Hispanic Black,32676,state,virginia,
2015,Hispanic Black,8599,state,washington,
2015,Hispanic Black,583,state,west virginia,
2015,Hispanic Black,5233,state,wisconsin,
2015,Hispanic Black,31,state,wyoming,
2015,Hispanic Chinese,18,state,alabama,
2015,Hispanic Chinese,2293,state,arizona,
2015,Hispanic Chinese,6824,state,california,
2015,Hispanic Chinese,630,state,colorado,
2015,Hispanic Chinese,66,state,connecticut,
2015,Hispanic Chinese,3025,state,florida,
2015,Hispanic Chinese,830,state,georgia,
2015,Hispanic Chinese,313,state,hawaii,
2015,Hispanic Chinese,859,state,illinois,
2015,Hispanic Chinese,224,state,kansas,
2015,Hispanic Chinese,147,state,louisiana,
2015,Hispanic Chinese,60,state,maine,
2015,Hispanic Chinese,326,state,maryland,
2015,Hispanic Chinese,383,state,massachusetts,
2015,Hispanic Chinese,191,state,michigan,
2015,Hispanic Chinese,188,state,missouri,
2015,Hispanic Chinese,11,state,nebraska,
2015,Hispanic Chinese,2083,state,new jersey,
2015,Hispanic Chinese,267,state,new mexico,
2015,Hispanic Chinese,3505,state,new york,
2015,Hispanic Chinese,865,state,north carolina,
2015,Hispanic Chinese,210,state,ohio,
2015,Hispanic Chinese,2491,state,texas,
2015,Hispanic Chinese,113,state,utah,
2015,Hispanic Chinese,326,state,virginia,
2015,Hispanic Chinese,214,state,washington,
2015,Hispanic Chinese,240,state,wisconsin,
2015,Hispanic Japanese,1093,state,arizona,
2015,Hispanic Japanese,6666,state,california,
2015,Hispanic Japanese,2126,state,colorado,
2015,Hispanic Japanese,556,state,florida,
2015,Hispanic Japanese,94,state,georgia,
2015,Hispanic Japanese,694,state,hawaii,
2015,Hispanic Japanese,58,state,illinois,
2015,Hispanic Japanese,36,state,indiana,
2015,Hispanic Japanese,76,state,maryland,
2015,Hispanic Japanese,306,state,massachusetts,
2015,Hispanic Japanese,610,state,michigan,
2015,Hispanic Japanese,78,state,nevada,
2015,Hispanic Japanese,279,state,new jersey,
2015,Hispanic Japanese,141,state,new mexico,
2015,Hispanic Japanese,961,state,new york,
2015,Hispanic Japanese,116,state,north carolina,
2015,Hispanic Japanese,610,state,oregon,
2015,Hispanic Japanese,100,state,pennsylvania,
2015,Hispanic Japanese,351,state,tennessee,
2015,Hispanic Japanese,867,state,texas,
2015,Hispanic Japanese,154,state,utah,
2015,Hispanic Japanese,1128,state,virginia,
2015,Hispanic Japanese,416,state,washington,
2015,Hispanic OAPI,3446,state,alabama,
2015,Hispanic OAPI,1012,state,alaska,
2015,Hispanic OAPI,3820,state,arizona,
2015,Hispanic OAPI,195,state,arkansas,
2015,Hispanic OAPI,75132,state,california,
2015,Hispanic OAPI,3550,state,colorado,
2015,Hispanic OAPI,422,state,connecticut,
2015,Hispanic OAPI,110,state,delaware,
2015,Hispanic OAPI,206,state,district of columbia,
2015,Hispanic OAPI,7551,state,florida,
2015,Hispanic OAPI,3693,state,georgia,
2015,Hispanic OAPI,17854,state,hawaii,
2015,Hispanic OAPI,71,state,idaho,
2015,Hispanic OAPI,3880,state,illinois,
2015,Hispanic OAPI,1709,state,indiana,
2015,Hispanic OAPI,499,state,iowa,
2015,Hispanic OAPI,2604,state,kansas,
2015,Hispanic OAPI,362,state,kentucky,
2015,Hispanic OAPI,573,state,louisiana,
2015,Hispanic OAPI,333,state,maine,
2015,Hispanic OAPI,2447,state,maryland,
